neuron_layer,neuron,activation_layer,corr,feature,neuron_weight,abs_corr
12,8830,0,0.0012081300455003177,cls,in,0.0012081300455003177
12,8830,1,0.02096205710298342,cls,in,0.02096205710298342
12,8830,2,0.02100747799813914,cls,in,0.02100747799813914
12,8830,3,0.020484585895317597,cls,in,0.020484585895317597
12,8830,4,0.02937327811784188,cls,in,0.02937327811784188
12,8830,5,0.051469530014710184,cls,in,0.051469530014710184
12,8830,6,0.07559434475947671,cls,in,0.07559434475947671
12,8830,7,0.11411357171243039,cls,in,0.11411357171243039
12,8830,8,0.2025403878530251,cls,in,0.2025403878530251
12,8830,9,0.18600144089365603,cls,in,0.18600144089365603
12,8830,10,0.22962728476431615,cls,in,0.22962728476431615
12,8830,11,0.3216460003666613,cls,in,0.3216460003666613
12,8830,12,0.31164335227989837,cls,in,0.31164335227989837
12,8830,13,0.2681484184899022,cls,in,0.2681484184899022
12,8830,14,0.25830068751155694,cls,in,0.25830068751155694
12,8830,15,0.21749951899115594,cls,in,0.21749951899115594
12,8830,16,0.18231906306867227,cls,in,0.18231906306867227
12,8830,17,0.17184691438124564,cls,in,0.17184691438124564
12,8830,18,0.16006674303045124,cls,in,0.16006674303045124
12,8830,19,0.14469823159239886,cls,in,0.14469823159239886
12,8830,20,0.13227724610551334,cls,in,0.13227724610551334
12,8830,21,0.11893978527497304,cls,in,0.11893978527497304
12,8830,22,0.09817871911255593,cls,in,0.09817871911255593
12,8830,23,0.09562955093608426,cls,in,0.09562955093608426
12,8830,24,0.08312370336435868,cls,in,0.08312370336435868
12,8830,25,0.08275472981316327,cls,in,0.08275472981316327
12,8830,26,0.07919019900573204,cls,in,0.07919019900573204
12,8830,27,0.07786745596318077,cls,in,0.07786745596318077
12,8830,28,0.07618614026237915,cls,in,0.07618614026237915
12,8830,29,0.06968067088520527,cls,in,0.06968067088520527
12,8830,30,0.05655640898149924,cls,in,0.05655640898149924
12,8830,31,0.024802562010095508,cls,in,0.024802562010095508
1,1947,0,0.009738294555381787,cls,in,0.009738294555381787
1,1947,1,-0.02487583228222945,cls,in,0.02487583228222945
1,1947,2,-0.024984103571094204,cls,in,0.024984103571094204
1,1947,3,-0.027794299426974683,cls,in,0.027794299426974683
1,1947,4,-0.027156135482482534,cls,in,0.027156135482482534
1,1947,5,-0.02491558670501121,cls,in,0.02491558670501121
1,1947,6,-0.026062872578662438,cls,in,0.026062872578662438
1,1947,7,-0.02497821541086542,cls,in,0.02497821541086542
1,1947,8,-0.023538236074229398,cls,in,0.023538236074229398
1,1947,9,-0.025753072996820548,cls,in,0.025753072996820548
1,1947,10,-0.018841810610659423,cls,in,0.018841810610659423
1,1947,11,-0.02325659981327939,cls,in,0.02325659981327939
1,1947,12,-0.03388752176915873,cls,in,0.03388752176915873
1,1947,13,-0.03415720515198311,cls,in,0.03415720515198311
1,1947,14,-0.028310472318419978,cls,in,0.028310472318419978
1,1947,15,-0.031162669356357423,cls,in,0.031162669356357423
1,1947,16,-0.024814371580451456,cls,in,0.024814371580451456
1,1947,17,-0.021029194853280295,cls,in,0.021029194853280295
1,1947,18,-0.02776102486259868,cls,in,0.02776102486259868
1,1947,19,-0.030933067090688895,cls,in,0.030933067090688895
1,1947,20,-0.02827401462294585,cls,in,0.02827401462294585
1,1947,21,-0.029254267745683536,cls,in,0.029254267745683536
1,1947,22,-0.030322400151891905,cls,in,0.030322400151891905
1,1947,23,-0.03363408370318896,cls,in,0.03363408370318896
1,1947,24,-0.03002258741750318,cls,in,0.03002258741750318
1,1947,25,-0.03254139313756472,cls,in,0.03254139313756472
1,1947,26,-0.02987486712537377,cls,in,0.02987486712537377
1,1947,27,-0.03008754042838276,cls,in,0.03008754042838276
1,1947,28,-0.03306216810064,cls,in,0.03306216810064
1,1947,29,-0.03407400719863609,cls,in,0.03407400719863609
1,1947,30,-0.023480985283685394,cls,in,0.023480985283685394
1,1947,31,-0.01655859650319747,cls,in,0.01655859650319747
9,7692,0,0.0019686778329272457,cls,in,0.0019686778329272457
9,7692,1,-0.023584672736460015,cls,in,0.023584672736460015
9,7692,2,-0.02505302189250751,cls,in,0.02505302189250751
9,7692,3,-0.042473892792152856,cls,in,0.042473892792152856
9,7692,4,-0.05653523750883347,cls,in,0.05653523750883347
9,7692,5,-0.06599121132574873,cls,in,0.06599121132574873
9,7692,6,-0.06077745025746748,cls,in,0.06077745025746748
9,7692,7,-0.05699659323630884,cls,in,0.05699659323630884
9,7692,8,-0.02541406018623917,cls,in,0.02541406018623917
9,7692,9,-0.032950452509253596,cls,in,0.032950452509253596
9,7692,10,0.026793977076513275,cls,in,0.026793977076513275
9,7692,11,0.027665882098853938,cls,in,0.027665882098853938
9,7692,12,0.033253731294407854,cls,in,0.033253731294407854
9,7692,13,0.01463072404024704,cls,in,0.01463072404024704
9,7692,14,0.0015830421502200085,cls,in,0.0015830421502200085
9,7692,15,0.01085282411980425,cls,in,0.01085282411980425
9,7692,16,0.01642314425053127,cls,in,0.01642314425053127
9,7692,17,0.003016392422021856,cls,in,0.003016392422021856
9,7692,18,0.0003185235047275629,cls,in,0.0003185235047275629
9,7692,19,0.004337414507680839,cls,in,0.004337414507680839
9,7692,20,0.0023958582728771,cls,in,0.0023958582728771
9,7692,21,0.003925060532258672,cls,in,0.003925060532258672
9,7692,22,-0.000672283097706817,cls,in,0.000672283097706817
9,7692,23,-0.001960289066328304,cls,in,0.001960289066328304
9,7692,24,-0.006993748866978419,cls,in,0.006993748866978419
9,7692,25,-0.006342845361558549,cls,in,0.006342845361558549
9,7692,26,-0.012204874142875246,cls,in,0.012204874142875246
9,7692,27,-0.013361908604941733,cls,in,0.013361908604941733
9,7692,28,-0.01556390409123853,cls,in,0.01556390409123853
9,7692,29,-0.015095172780632755,cls,in,0.015095172780632755
9,7692,30,-0.007656464537427326,cls,in,0.007656464537427326
9,7692,31,0.01110095509525118,cls,in,0.01110095509525118
1,4600,0,0.008714627864721181,cls,in,0.008714627864721181
1,4600,1,0.00706622976764516,cls,in,0.00706622976764516
1,4600,2,0.00642856631069524,cls,in,0.00642856631069524
1,4600,3,-0.02679338793310895,cls,in,0.02679338793310895
1,4600,4,-0.03911396084379504,cls,in,0.03911396084379504
1,4600,5,-0.02570525458346332,cls,in,0.02570525458346332
1,4600,6,-0.030518122648274807,cls,in,0.030518122648274807
1,4600,7,-0.029988570145734212,cls,in,0.029988570145734212
1,4600,8,-0.044900286542037586,cls,in,0.044900286542037586
1,4600,9,-0.04079659310539709,cls,in,0.04079659310539709
1,4600,10,-0.0467294310569687,cls,in,0.0467294310569687
1,4600,11,0.0009585384100904971,cls,in,0.0009585384100904971
1,4600,12,-0.011247136063137061,cls,in,0.011247136063137061
1,4600,13,-0.00714970948110528,cls,in,0.00714970948110528
1,4600,14,-0.018110449469886852,cls,in,0.018110449469886852
1,4600,15,-0.017357106308943496,cls,in,0.017357106308943496
1,4600,16,-0.029007967753124014,cls,in,0.029007967753124014
1,4600,17,-0.02630331833095564,cls,in,0.02630331833095564
1,4600,18,-0.02745563408943413,cls,in,0.02745563408943413
1,4600,19,-0.03399611320876484,cls,in,0.03399611320876484
1,4600,20,-0.028178287124945793,cls,in,0.028178287124945793
1,4600,21,-0.022131014634540237,cls,in,0.022131014634540237
1,4600,22,-0.025266330022234766,cls,in,0.025266330022234766
1,4600,23,-0.02282134618990298,cls,in,0.02282134618990298
1,4600,24,-0.02635367307790303,cls,in,0.02635367307790303
1,4600,25,-0.029102930811315753,cls,in,0.029102930811315753
1,4600,26,-0.027669095654688572,cls,in,0.027669095654688572
1,4600,27,-0.03209764730437728,cls,in,0.03209764730437728
1,4600,28,-0.03334014232137496,cls,in,0.03334014232137496
1,4600,29,-0.03158867041973049,cls,in,0.03158867041973049
1,4600,30,-0.029907786234421106,cls,in,0.029907786234421106
1,4600,31,-0.002140909025430327,cls,in,0.002140909025430327
7,7784,0,0.0006721114637908284,cls,in,0.0006721114637908284
7,7784,1,-0.026577302299361324,cls,in,0.026577302299361324
7,7784,2,-0.030984108459620557,cls,in,0.030984108459620557
7,7784,3,-0.04707723187548933,cls,in,0.04707723187548933
7,7784,4,-0.055988362860445166,cls,in,0.055988362860445166
7,7784,5,-0.06480335805461855,cls,in,0.06480335805461855
7,7784,6,-0.06856441460844426,cls,in,0.06856441460844426
7,7784,7,-0.08839395652853722,cls,in,0.08839395652853722
7,7784,8,-0.07350162060862818,cls,in,0.07350162060862818
7,7784,9,-0.07546141841391334,cls,in,0.07546141841391334
7,7784,10,-0.06307434754088083,cls,in,0.06307434754088083
7,7784,11,-0.06510657050424941,cls,in,0.06510657050424941
7,7784,12,-0.06847171562170493,cls,in,0.06847171562170493
7,7784,13,-0.06366729879664683,cls,in,0.06366729879664683
7,7784,14,-0.057767310160741776,cls,in,0.057767310160741776
7,7784,15,-0.07103269698220417,cls,in,0.07103269698220417
7,7784,16,-0.07301702510108932,cls,in,0.07301702510108932
7,7784,17,-0.07300790401375011,cls,in,0.07300790401375011
7,7784,18,-0.06426600559700382,cls,in,0.06426600559700382
7,7784,19,-0.05921889264035783,cls,in,0.05921889264035783
7,7784,20,-0.06100062537556244,cls,in,0.06100062537556244
7,7784,21,-0.05767585376118315,cls,in,0.05767585376118315
7,7784,22,-0.05788891211764975,cls,in,0.05788891211764975
7,7784,23,-0.055819241223875916,cls,in,0.055819241223875916
7,7784,24,-0.05523442007003988,cls,in,0.05523442007003988
7,7784,25,-0.054749381119310665,cls,in,0.054749381119310665
7,7784,26,-0.047466418966888586,cls,in,0.047466418966888586
7,7784,27,-0.04554481134936911,cls,in,0.04554481134936911
7,7784,28,-0.044733021980343804,cls,in,0.044733021980343804
7,7784,29,-0.04753551918407412,cls,in,0.04753551918407412
7,7784,30,-0.04227877676424819,cls,in,0.04227877676424819
7,7784,31,-0.022633378489704266,cls,in,0.022633378489704266
9,4350,0,-0.003028964878442667,cls,in,0.003028964878442667
9,4350,1,0.01615170334961868,cls,in,0.01615170334961868
9,4350,2,0.01567517381619965,cls,in,0.01567517381619965
9,4350,3,-0.04766258073811275,cls,in,0.04766258073811275
9,4350,4,-0.0526281828957393,cls,in,0.0526281828957393
9,4350,5,-0.044376842113979756,cls,in,0.044376842113979756
9,4350,6,-0.12433109909222274,cls,in,0.12433109909222274
9,4350,7,-0.2078441777978869,cls,in,0.2078441777978869
9,4350,8,-0.23041321310036156,cls,in,0.23041321310036156
9,4350,9,-0.1876056511115643,cls,in,0.1876056511115643
9,4350,10,-0.18699624232632525,cls,in,0.18699624232632525
9,4350,11,-0.17060055264625162,cls,in,0.17060055264625162
9,4350,12,-0.15906083224762116,cls,in,0.15906083224762116
9,4350,13,-0.14611963901894492,cls,in,0.14611963901894492
9,4350,14,-0.11457146045444441,cls,in,0.11457146045444441
9,4350,15,-0.10596674181622752,cls,in,0.10596674181622752
9,4350,16,-0.09921675881735724,cls,in,0.09921675881735724
9,4350,17,-0.0780118602279197,cls,in,0.0780118602279197
9,4350,18,-0.07686737393899973,cls,in,0.07686737393899973
9,4350,19,-0.07019821550713573,cls,in,0.07019821550713573
9,4350,20,-0.06131349461208073,cls,in,0.06131349461208073
9,4350,21,-0.05529284112068841,cls,in,0.05529284112068841
9,4350,22,-0.047221895974645337,cls,in,0.047221895974645337
9,4350,23,-0.048073440780369944,cls,in,0.048073440780369944
9,4350,24,-0.04346832607332892,cls,in,0.04346832607332892
9,4350,25,-0.03544821022198307,cls,in,0.03544821022198307
9,4350,26,-0.03683014824818496,cls,in,0.03683014824818496
9,4350,27,-0.03757035667907182,cls,in,0.03757035667907182
9,4350,28,-0.030344037212110483,cls,in,0.030344037212110483
9,4350,29,-0.023030413158403856,cls,in,0.023030413158403856
9,4350,30,-0.020707840154213245,cls,in,0.020707840154213245
9,4350,31,-0.006427516627207366,cls,in,0.006427516627207366
4,1522,0,0.020606562081739,cls,in,0.020606562081739
4,1522,1,-0.025902349190133154,cls,in,0.025902349190133154
4,1522,2,-0.028270623331530513,cls,in,0.028270623331530513
4,1522,3,-0.04372312182655483,cls,in,0.04372312182655483
4,1522,4,-0.046990461920351057,cls,in,0.046990461920351057
4,1522,5,-0.04722632589837946,cls,in,0.04722632589837946
4,1522,6,-0.040709711049674926,cls,in,0.040709711049674926
4,1522,7,-0.04264354209865263,cls,in,0.04264354209865263
4,1522,8,-0.04344483612281324,cls,in,0.04344483612281324
4,1522,9,-0.04188500453247324,cls,in,0.04188500453247324
4,1522,10,-0.04814648886802386,cls,in,0.04814648886802386
4,1522,11,-0.03230966579752979,cls,in,0.03230966579752979
