neuron_layer,neuron,activation_layer,corr,feature,neuron_weight,abs_corr
7,6277,0,0.006428528566362698,cls,in,0.006428528566362698
7,6277,1,0.020699422785650044,cls,in,0.020699422785650044
7,6277,2,0.017965253789666694,cls,in,0.017965253789666694
7,6277,3,0.01383595330905431,cls,in,0.01383595330905431
7,6277,4,0.009694557561246596,cls,in,0.009694557561246596
7,6277,5,0.009184195214531768,cls,in,0.009184195214531768
7,6277,6,-0.014504701649675851,cls,in,0.014504701649675851
7,6277,7,-0.04385463179961789,cls,in,0.04385463179961789
7,6277,8,-0.03707628972779864,cls,in,0.03707628972779864
7,6277,9,-0.033238822842337,cls,in,0.033238822842337
7,6277,10,-0.03132684437733183,cls,in,0.03132684437733183
7,6277,11,-0.03407981462667379,cls,in,0.03407981462667379
7,6277,12,-0.03413394406493865,cls,in,0.03413394406493865
7,6277,13,-0.03873926843469441,cls,in,0.03873926843469441
7,6277,14,-0.0416909748188211,cls,in,0.0416909748188211
7,6277,15,-0.05582757211400409,cls,in,0.05582757211400409
7,6277,16,-0.06778126947492426,cls,in,0.06778126947492426
7,6277,17,-0.06985875227171873,cls,in,0.06985875227171873
7,6277,18,-0.08003259382712104,cls,in,0.08003259382712104
7,6277,19,-0.09949310914955108,cls,in,0.09949310914955108
7,6277,20,-0.09459159025540077,cls,in,0.09459159025540077
7,6277,21,-0.09883371152737541,cls,in,0.09883371152737541
7,6277,22,-0.10178290745083131,cls,in,0.10178290745083131
7,6277,23,-0.10425322374253786,cls,in,0.10425322374253786
7,6277,24,-0.11029129529109935,cls,in,0.11029129529109935
7,6277,25,-0.10769137332040347,cls,in,0.10769137332040347
7,6277,26,-0.10865064245380673,cls,in,0.10865064245380673
7,6277,27,-0.1035493931539481,cls,in,0.1035493931539481
7,6277,28,-0.09915642668048444,cls,in,0.09915642668048444
7,6277,29,-0.09801314190855553,cls,in,0.09801314190855553
7,6277,30,-0.11613642953426476,cls,in,0.11613642953426476
7,6277,31,-0.053547133466778474,cls,in,0.053547133466778474
7,7784,0,-0.002206875618590798,cls,in,0.002206875618590798
7,7784,1,-0.027640249835630827,cls,in,0.027640249835630827
7,7784,2,-0.03127506972359542,cls,in,0.03127506972359542
7,7784,3,-0.04344410236012259,cls,in,0.04344410236012259
7,7784,4,-0.04943787358418075,cls,in,0.04943787358418075
7,7784,5,-0.05472736110856716,cls,in,0.05472736110856716
7,7784,6,-0.05732413360401445,cls,in,0.05732413360401445
7,7784,7,-0.07258922346092324,cls,in,0.07258922346092324
7,7784,8,-0.05987228918284661,cls,in,0.05987228918284661
7,7784,9,-0.06681403227128466,cls,in,0.06681403227128466
7,7784,10,-0.06259441597767954,cls,in,0.06259441597767954
7,7784,11,-0.061209654171879194,cls,in,0.061209654171879194
7,7784,12,-0.06262267743244114,cls,in,0.06262267743244114
7,7784,13,-0.0600814346844789,cls,in,0.0600814346844789
7,7784,14,-0.057857679623442994,cls,in,0.057857679623442994
7,7784,15,-0.06994417566955358,cls,in,0.06994417566955358
7,7784,16,-0.07118052451763181,cls,in,0.07118052451763181
7,7784,17,-0.07118663777956688,cls,in,0.07118663777956688
7,7784,18,-0.06569240541119442,cls,in,0.06569240541119442
7,7784,19,-0.06190955249290986,cls,in,0.06190955249290986
7,7784,20,-0.06628692432157007,cls,in,0.06628692432157007
7,7784,21,-0.06693845809334958,cls,in,0.06693845809334958
7,7784,22,-0.06744069024467275,cls,in,0.06744069024467275
7,7784,23,-0.06672652947256388,cls,in,0.06672652947256388
7,7784,24,-0.06778381685465289,cls,in,0.06778381685465289
7,7784,25,-0.06651058085872034,cls,in,0.06651058085872034
7,7784,26,-0.0640699529642468,cls,in,0.0640699529642468
7,7784,27,-0.0626514538646037,cls,in,0.0626514538646037
7,7784,28,-0.06731541288964348,cls,in,0.06731541288964348
7,7784,29,-0.06977228819078117,cls,in,0.06977228819078117
7,7784,30,-0.07520864603212518,cls,in,0.07520864603212518
7,7784,31,-0.04771132146419185,cls,in,0.04771132146419185
8,511,0,0.012280942004551352,cls,in,0.012280942004551352
8,511,1,0.023405061093414198,cls,in,0.023405061093414198
8,511,2,0.023304341047379926,cls,in,0.023304341047379926
8,511,3,0.02276556857997674,cls,in,0.02276556857997674
8,511,4,0.021849808039070218,cls,in,0.021849808039070218
8,511,5,0.013268334365683292,cls,in,0.013268334365683292
8,511,6,-0.04408063914106579,cls,in,0.04408063914106579
8,511,7,-0.08577702887996026,cls,in,0.08577702887996026
8,511,8,-0.18623807856108035,cls,in,0.18623807856108035
8,511,9,-0.1634855773676773,cls,in,0.1634855773676773
8,511,10,-0.19219133965398486,cls,in,0.19219133965398486
8,511,11,-0.23256963943686285,cls,in,0.23256963943686285
8,511,12,-0.19055252522521862,cls,in,0.19055252522521862
8,511,13,-0.17052047744348808,cls,in,0.17052047744348808
8,511,14,-0.16543904616038815,cls,in,0.16543904616038815
8,511,15,-0.15501890777400157,cls,in,0.15501890777400157
8,511,16,-0.16112803527504554,cls,in,0.16112803527504554
8,511,17,-0.1452873992532251,cls,in,0.1452873992532251
8,511,18,-0.14520135187268285,cls,in,0.14520135187268285
8,511,19,-0.14635647454934594,cls,in,0.14635647454934594
8,511,20,-0.12654332043408723,cls,in,0.12654332043408723
8,511,21,-0.12470675018269088,cls,in,0.12470675018269088
8,511,22,-0.12051655450445002,cls,in,0.12051655450445002
8,511,23,-0.12754820216271584,cls,in,0.12754820216271584
8,511,24,-0.11830991595977997,cls,in,0.11830991595977997
8,511,25,-0.11282182783882803,cls,in,0.11282182783882803
8,511,26,-0.1166094053430193,cls,in,0.1166094053430193
8,511,27,-0.1150299207673756,cls,in,0.1150299207673756
8,511,28,-0.11904370003264547,cls,in,0.11904370003264547
8,511,29,-0.11646920216540751,cls,in,0.11646920216540751
8,511,30,-0.10932212852292299,cls,in,0.10932212852292299
8,511,31,-0.07390885661653045,cls,in,0.07390885661653045
3,3687,0,0.017741422557259294,cls,in,0.017741422557259294
3,3687,1,0.02414129579724154,cls,in,0.02414129579724154
3,3687,2,0.024416978976283827,cls,in,0.024416978976283827
3,3687,3,0.029386948919227378,cls,in,0.029386948919227378
3,3687,4,0.03029746820962274,cls,in,0.03029746820962274
3,3687,5,0.030554481293427277,cls,in,0.030554481293427277
3,3687,6,0.028777796727195038,cls,in,0.028777796727195038
3,3687,7,0.03231577630417555,cls,in,0.03231577630417555
3,3687,8,0.031753926714016896,cls,in,0.031753926714016896
3,3687,9,0.032167203617608005,cls,in,0.032167203617608005
3,3687,10,0.030744548467507883,cls,in,0.030744548467507883
3,3687,11,0.029221181276839266,cls,in,0.029221181276839266
3,3687,12,0.03244980644135805,cls,in,0.03244980644135805
3,3687,13,0.03599307671418631,cls,in,0.03599307671418631
3,3687,14,0.04086467264383205,cls,in,0.04086467264383205
3,3687,15,0.037324442385073264,cls,in,0.037324442385073264
3,3687,16,0.03857926970138589,cls,in,0.03857926970138589
3,3687,17,0.037574694178646374,cls,in,0.037574694178646374
3,3687,18,0.03709799898087481,cls,in,0.03709799898087481
3,3687,19,0.03490903011448799,cls,in,0.03490903011448799
3,3687,20,0.03836264151759846,cls,in,0.03836264151759846
3,3687,21,0.03643757931742088,cls,in,0.03643757931742088
3,3687,22,0.03522894454138636,cls,in,0.03522894454138636
3,3687,23,0.035851972249122246,cls,in,0.035851972249122246
3,3687,24,0.035447036432370134,cls,in,0.035447036432370134
3,3687,25,0.03641506611068043,cls,in,0.03641506611068043
3,3687,26,0.03550894064955824,cls,in,0.03550894064955824
3,3687,27,0.038312091347516425,cls,in,0.038312091347516425
3,3687,28,0.039447751452478995,cls,in,0.039447751452478995
3,3687,29,0.03838676444602656,cls,in,0.03838676444602656
3,3687,30,0.03519670198815769,cls,in,0.03519670198815769
3,3687,31,0.017681303952317595,cls,in,0.017681303952317595
4,1522,0,0.029758510492149098,cls,in,0.029758510492149098
4,1522,1,-0.026688657477979754,cls,in,0.026688657477979754
4,1522,2,-0.029009805494671432,cls,in,0.029009805494671432
4,1522,3,-0.04041735597989847,cls,in,0.04041735597989847
4,1522,4,-0.04321925840201819,cls,in,0.04321925840201819
4,1522,5,-0.04584868498717827,cls,in,0.04584868498717827
4,1522,6,-0.04037795991475987,cls,in,0.04037795991475987
4,1522,7,-0.042983461006140415,cls,in,0.042983461006140415
4,1522,8,-0.042674607915852855,cls,in,0.042674607915852855
4,1522,9,-0.040855659345471584,cls,in,0.040855659345471584
4,1522,10,-0.04545093058485629,cls,in,0.04545093058485629
4,1522,11,-0.031183879410739405,cls,in,0.031183879410739405
4,1522,12,-0.03532751772051118,cls,in,0.03532751772051118
4,1522,13,-0.036834665849008554,cls,in,0.036834665849008554
4,1522,14,-0.03390690632532732,cls,in,0.03390690632532732
4,1522,15,-0.02737311444256349,cls,in,0.02737311444256349
4,1522,16,-0.019406296507698994,cls,in,0.019406296507698994
4,1522,17,-0.020309574228650696,cls,in,0.020309574228650696
4,1522,18,-0.01784873057788401,cls,in,0.01784873057788401
4,1522,19,-0.017179739967097034,cls,in,0.017179739967097034
4,1522,20,-0.01973743382241735,cls,in,0.01973743382241735
4,1522,21,-0.017141310457720327,cls,in,0.017141310457720327
4,1522,22,-0.013919814978077785,cls,in,0.013919814978077785
4,1522,23,-0.012901938712177598,cls,in,0.012901938712177598
4,1522,24,-0.011042854855953146,cls,in,0.011042854855953146
4,1522,25,-0.013750990598632355,cls,in,0.013750990598632355
4,1522,26,-0.008223405052487686,cls,in,0.008223405052487686
4,1522,27,-0.011001011357001315,cls,in,0.011001011357001315
4,1522,28,-0.006563672033251298,cls,in,0.006563672033251298
4,1522,29,-0.003139055865222909,cls,in,0.003139055865222909
4,1522,30,0.02233642451854572,cls,in,0.02233642451854572
4,1522,31,0.0238636435407102,cls,in,0.0238636435407102
7,4548,0,0.021078821390991383,cls,in,0.021078821390991383
7,4548,1,0.022392253937735154,cls,in,0.022392253937735154
7,4548,2,0.02079572456271884,cls,in,0.02079572456271884
7,4548,3,0.012729544970714204,cls,in,0.012729544970714204
7,4548,4,0.010464257333418955,cls,in,0.010464257333418955
7,4548,5,0.00879372369187565,cls,in,0.00879372369187565
7,4548,6,0.005014240109269348,cls,in,0.005014240109269348
7,4548,7,0.0006997994678402664,cls,in,0.0006997994678402664
7,4548,8,0.0031802107886530584,cls,in,0.0031802107886530584
7,4548,9,0.008284145560189289,cls,in,0.008284145560189289
7,4548,10,-0.0017219162989297219,cls,in,0.0017219162989297219
7,4548,11,0.00630219493134423,cls,in,0.00630219493134423
7,4548,12,-0.0007337543766476324,cls,in,0.0007337543766476324
7,4548,13,-0.0054803588275188705,cls,in,0.0054803588275188705
7,4548,14,-0.010292728671034273,cls,in,0.010292728671034273
7,4548,15,-0.014716477343263016,cls,in,0.014716477343263016
7,4548,16,-0.015961497905756027,cls,in,0.015961497905756027
7,4548,17,-0.017026129821748538,cls,in,0.017026129821748538
7,4548,18,-0.02095058996136821,cls,in,0.02095058996136821
7,4548,19,-0.02283506893271216,cls,in,0.02283506893271216
7,4548,20,-0.024241220998274606,cls,in,0.024241220998274606
7,4548,21,-0.021548901475979505,cls,in,0.021548901475979505
7,4548,22,-0.020944292796935302,cls,in,0.020944292796935302
7,4548,23,-0.026758643963173387,cls,in,0.026758643963173387
7,4548,24,-0.03303799973148228,cls,in,0.03303799973148228
7,4548,25,-0.037163602504435386,cls,in,0.037163602504435386
7,4548,26,-0.03401169542769481,cls,in,0.03401169542769481
7,4548,27,-0.0345642624820111,cls,in,0.0345642624820111
