neuron_layer,neuron,activation_layer,corr,feature,neuron_weight,abs_corr
3,7317,0,0.015325228126066674,cls,in,0.015325228126066674
3,7317,1,0.01866728568479805,cls,in,0.01866728568479805
3,7317,2,0.017425153944415142,cls,in,0.017425153944415142
3,7317,3,0.012583488067869682,cls,in,0.012583488067869682
3,7317,4,0.01058794499307434,cls,in,0.01058794499307434
3,7317,5,0.01139054321152021,cls,in,0.01139054321152021
3,7317,6,0.006503750814266235,cls,in,0.006503750814266235
3,7317,7,0.005611270277614866,cls,in,0.005611270277614866
3,7317,8,0.003916740856033883,cls,in,0.003916740856033883
3,7317,9,-0.0009500341059177292,cls,in,0.0009500341059177292
3,7317,10,-0.003289056489516469,cls,in,0.003289056489516469
3,7317,11,-0.0029044910495509245,cls,in,0.0029044910495509245
3,7317,12,-0.004812886622409684,cls,in,0.004812886622409684
3,7317,13,-0.007470445141162506,cls,in,0.007470445141162506
3,7317,14,-0.005258218383968134,cls,in,0.005258218383968134
3,7317,15,-0.00463002107287026,cls,in,0.00463002107287026
3,7317,16,-0.0022285063991684347,cls,in,0.0022285063991684347
3,7317,17,-0.0010958266447041473,cls,in,0.0010958266447041473
3,7317,18,-0.004780858013687976,cls,in,0.004780858013687976
3,7317,19,-0.0021541851162656055,cls,in,0.0021541851162656055
3,7317,20,-1.4745310558849641e-05,cls,in,1.4745310558849641e-05
3,7317,21,0.0017510192086233113,cls,in,0.0017510192086233113
3,7317,22,0.005031541127530061,cls,in,0.005031541127530061
3,7317,23,0.005102549206330278,cls,in,0.005102549206330278
3,7317,24,0.007645039982394992,cls,in,0.007645039982394992
3,7317,25,0.008581123583860715,cls,in,0.008581123583860715
3,7317,26,0.00683611007885398,cls,in,0.00683611007885398
3,7317,27,0.007372300558040913,cls,in,0.007372300558040913
3,7317,28,0.008742631919770425,cls,in,0.008742631919770425
3,7317,29,0.006992808015884626,cls,in,0.006992808015884626
3,7317,30,-0.008199168019104084,cls,in,0.008199168019104084
3,7317,31,7.716689678494604e-05,cls,in,7.716689678494604e-05
3,2057,0,-0.006400433582130602,cls,in,0.006400433582130602
3,2057,1,-0.019087409255549817,cls,in,0.019087409255549817
3,2057,2,-0.020405333523793413,cls,in,0.020405333523793413
3,2057,3,-0.04239089963131812,cls,in,0.04239089963131812
3,2057,4,-0.04996306059396194,cls,in,0.04996306059396194
3,2057,5,-0.0440352519256167,cls,in,0.0440352519256167
3,2057,6,-0.05344439033416103,cls,in,0.05344439033416103
3,2057,7,-0.05316325933701288,cls,in,0.05316325933701288
3,2057,8,-0.03306043841175966,cls,in,0.03306043841175966
3,2057,9,-0.04726139662379508,cls,in,0.04726139662379508
3,2057,10,-0.03528769114068589,cls,in,0.03528769114068589
3,2057,11,-0.031546782822700334,cls,in,0.031546782822700334
3,2057,12,-0.024666961724076435,cls,in,0.024666961724076435
3,2057,13,-0.036912515742389754,cls,in,0.036912515742389754
3,2057,14,-0.02875960689518521,cls,in,0.02875960689518521
3,2057,15,-0.02715456533299859,cls,in,0.02715456533299859
3,2057,16,-0.028030214065330784,cls,in,0.028030214065330784
3,2057,17,-0.029777827946155248,cls,in,0.029777827946155248
3,2057,18,-0.04090588160481143,cls,in,0.04090588160481143
3,2057,19,-0.04934700765945795,cls,in,0.04934700765945795
3,2057,20,-0.0422507585124233,cls,in,0.0422507585124233
3,2057,21,-0.03584865492149326,cls,in,0.03584865492149326
3,2057,22,-0.032698578396725374,cls,in,0.032698578396725374
3,2057,23,-0.026640498734612883,cls,in,0.026640498734612883
3,2057,24,-0.022947009198865324,cls,in,0.022947009198865324
3,2057,25,-0.02334191170599694,cls,in,0.02334191170599694
3,2057,26,-0.019868896763054738,cls,in,0.019868896763054738
3,2057,27,-0.01110219282796508,cls,in,0.01110219282796508
3,2057,28,-0.008227789502910162,cls,in,0.008227789502910162
3,2057,29,-0.006430802835492761,cls,in,0.006430802835492761
3,2057,30,0.0012722436993479204,cls,in,0.0012722436993479204
3,2057,31,0.0034805961639209106,cls,in,0.0034805961639209106
2,3699,0,-0.011097175562038236,cls,in,0.011097175562038236
2,3699,1,-0.016497715840130215,cls,in,0.016497715840130215
2,3699,2,-0.012545553701876362,cls,in,0.012545553701876362
2,3699,3,-0.010451335474877501,cls,in,0.010451335474877501
2,3699,4,-0.0027466237867712234,cls,in,0.0027466237867712234
2,3699,5,-0.0013406256819811931,cls,in,0.0013406256819811931
2,3699,6,0.0028558034114288,cls,in,0.0028558034114288
2,3699,7,0.0056750996811741825,cls,in,0.0056750996811741825
2,3699,8,0.013822743783070818,cls,in,0.013822743783070818
2,3699,9,0.01311778555917833,cls,in,0.01311778555917833
2,3699,10,0.01626387295640498,cls,in,0.01626387295640498
2,3699,11,0.009630632526799125,cls,in,0.009630632526799125
2,3699,12,0.010063225868065545,cls,in,0.010063225868065545
2,3699,13,0.00881101859147447,cls,in,0.00881101859147447
2,3699,14,0.01066928213488065,cls,in,0.01066928213488065
2,3699,15,0.008961109059312229,cls,in,0.008961109059312229
2,3699,16,0.009664873311949748,cls,in,0.009664873311949748
2,3699,17,0.010898475239374416,cls,in,0.010898475239374416
2,3699,18,0.012095671152245028,cls,in,0.012095671152245028
2,3699,19,0.012277529990228152,cls,in,0.012277529990228152
2,3699,20,0.007813644314250237,cls,in,0.007813644314250237
2,3699,21,0.008763679417215113,cls,in,0.008763679417215113
2,3699,22,0.01022204988673904,cls,in,0.01022204988673904
2,3699,23,0.009724102204983135,cls,in,0.009724102204983135
2,3699,24,0.007948177083730874,cls,in,0.007948177083730874
2,3699,25,0.012216517248147835,cls,in,0.012216517248147835
2,3699,26,0.015408273394209079,cls,in,0.015408273394209079
2,3699,27,0.02123989343020511,cls,in,0.02123989343020511
2,3699,28,0.023520113949533225,cls,in,0.023520113949533225
2,3699,29,0.02717372485909728,cls,in,0.02717372485909728
2,3699,30,0.05826315220576162,cls,in,0.05826315220576162
2,3699,31,0.0519853323334656,cls,in,0.0519853323334656
6,334,0,-0.01272949854478337,cls,in,0.01272949854478337
6,334,1,-0.01564269666447384,cls,in,0.01564269666447384
6,334,2,-0.003819455072307928,cls,in,0.003819455072307928
6,334,3,0.018974114095950546,cls,in,0.018974114095950546
6,334,4,0.05317044273030724,cls,in,0.05317044273030724
6,334,5,0.06973804822800904,cls,in,0.06973804822800904
6,334,6,0.11911109092614552,cls,in,0.11911109092614552
6,334,7,0.14841852577671683,cls,in,0.14841852577671683
6,334,8,0.16872643014687597,cls,in,0.16872643014687597
6,334,9,0.16231077727112458,cls,in,0.16231077727112458
6,334,10,0.1698668420543632,cls,in,0.1698668420543632
6,334,11,0.16634002045257829,cls,in,0.16634002045257829
6,334,12,0.18751596914307017,cls,in,0.18751596914307017
6,334,13,0.18149719955080834,cls,in,0.18149719955080834
6,334,14,0.1875944971174292,cls,in,0.1875944971174292
6,334,15,0.17557914619934248,cls,in,0.17557914619934248
6,334,16,0.17444128520087807,cls,in,0.17444128520087807
6,334,17,0.17672195983619296,cls,in,0.17672195983619296
6,334,18,0.18248586737041106,cls,in,0.18248586737041106
6,334,19,0.1783699975210446,cls,in,0.1783699975210446
6,334,20,0.16942787206905133,cls,in,0.16942787206905133
6,334,21,0.16139988260133628,cls,in,0.16139988260133628
6,334,22,0.15364255120635725,cls,in,0.15364255120635725
6,334,23,0.15384649437093414,cls,in,0.15384649437093414
6,334,24,0.14919500156320603,cls,in,0.14919500156320603
6,334,25,0.14805521790161513,cls,in,0.14805521790161513
6,334,26,0.13925118005693424,cls,in,0.13925118005693424
6,334,27,0.13330629811302078,cls,in,0.13330629811302078
6,334,28,0.12539311323233157,cls,in,0.12539311323233157
6,334,29,0.11753310705261981,cls,in,0.11753310705261981
6,334,30,0.1075049000155439,cls,in,0.1075049000155439
6,334,31,0.0587747723137381,cls,in,0.0587747723137381
6,3502,0,-0.0032999305728149695,cls,in,0.0032999305728149695
6,3502,1,0.01145505463264178,cls,in,0.01145505463264178
6,3502,2,0.015804595218025772,cls,in,0.015804595218025772
6,3502,3,-0.0039830946382494485,cls,in,0.0039830946382494485
6,3502,4,-0.0040898705748235896,cls,in,0.0040898705748235896
6,3502,5,0.019188199599014816,cls,in,0.019188199599014816
6,3502,6,-0.017679599234846775,cls,in,0.017679599234846775
6,3502,7,-0.0158802943953943,cls,in,0.0158802943953943
6,3502,8,-0.037070111505703725,cls,in,0.037070111505703725
6,3502,9,-0.020515620473268728,cls,in,0.020515620473268728
6,3502,10,-0.008050396714594009,cls,in,0.008050396714594009
6,3502,11,-0.008937341163243313,cls,in,0.008937341163243313
