neuron_layer,neuron,activation_layer,corr,feature,neuron_weight,abs_corr
3,753,0,0.016462840783299473,cls,in,0.016462840783299473
3,753,1,0.021049063952645546,cls,in,0.021049063952645546
3,753,2,0.022568168882294428,cls,in,0.022568168882294428
3,753,3,0.0283585358500041,cls,in,0.0283585358500041
3,753,4,0.03394814328664305,cls,in,0.03394814328664305
3,753,5,0.03346810050785884,cls,in,0.03346810050785884
3,753,6,0.03906048034509058,cls,in,0.03906048034509058
3,753,7,0.04485679027387436,cls,in,0.04485679027387436
3,753,8,0.046045195583851305,cls,in,0.046045195583851305
3,753,9,0.048154159518600574,cls,in,0.048154159518600574
3,753,10,0.0478335590417079,cls,in,0.0478335590417079
3,753,11,0.046354863966660616,cls,in,0.046354863966660616
3,753,12,0.04830478822939924,cls,in,0.04830478822939924
3,753,13,0.04741308340476686,cls,in,0.04741308340476686
3,753,14,0.05085641418540531,cls,in,0.05085641418540531
3,753,15,0.04520006084764075,cls,in,0.04520006084764075
3,753,16,0.042044068800278486,cls,in,0.042044068800278486
3,753,17,0.040892297543575394,cls,in,0.040892297543575394
3,753,18,0.038481120542499296,cls,in,0.038481120542499296
3,753,19,0.03830133895282769,cls,in,0.03830133895282769
3,753,20,0.04000983486904799,cls,in,0.04000983486904799
3,753,21,0.038635893985479015,cls,in,0.038635893985479015
3,753,22,0.037462373380467096,cls,in,0.037462373380467096
3,753,23,0.03892606891632973,cls,in,0.03892606891632973
3,753,24,0.04125140132024089,cls,in,0.04125140132024089
3,753,25,0.043062247332513987,cls,in,0.043062247332513987
3,753,26,0.0427000228084042,cls,in,0.0427000228084042
3,753,27,0.04355973764319882,cls,in,0.04355973764319882
3,753,28,0.0464836776914485,cls,in,0.0464836776914485
3,753,29,0.04623834433538851,cls,in,0.04623834433538851
3,753,30,0.08095124523835973,cls,in,0.08095124523835973
3,753,31,0.0573665368812035,cls,in,0.0573665368812035
2,8637,0,-0.02408860215566421,cls,in,0.02408860215566421
2,8637,1,0.021811055698131358,cls,in,0.021811055698131358
